Year;Month;Day;Hour;Minute;Temperature daily mean [2 m above gnd];Relative Humidity daily mean [2 m above gnd];Mean Sea Level Pressure daily mean [MSL];Total Precipitation daily sum [sfc];Snowfall amount raw daily sum [sfc];Total Cloud Cover daily mean [sfc];High Cloud Cover daily mean [high cld lay];Medium Cloud Cover daily mean [mid cld lay];Low Cloud Cover daily mean [low cld lay];Sunshine Duration daily sum [sfc];Shortwave Radiation daily sum [sfc];Wind Speed daily mean [10 m above gnd];Wind Direction daily mean [10 m above gnd];Wind Gust daily mean [sfc];Temperature daily max [2 m above gnd];Temperature daily min [2 m above gnd];Relative Humidity daily max [2 m above gnd];Relative Humidity daily min [2 m above gnd];Mean Sea Level Pressure daily max [MSL];Mean Sea Level Pressure daily min [MSL];Total Cloud Cover daily max [sfc];Total Cloud Cover daily min [sfc];High Cloud Cover daily max [high cld lay];High Cloud Cover daily min [high cld lay];Medium Cloud Cover daily max [mid cld lay];Medium Cloud Cover daily min [mid cld lay];Low Cloud Cover daily max [low cld lay];Low Cloud Cover daily min [low cld lay];Wind Speed daily max [10 m above gnd];Wind Speed daily min [10 m above gnd];Wind Gust daily max [sfc];Wind Gust daily min [sfc]
2012;02;23;00;00;5.17;64.79;1028.40;0.00;0.00;89.19;74.75;71.92;70.83;0.00;1297.62;1.76;224.49;3.03;8.11;2.36;81.00;41.00;1030.40;1026.40;100.00;4.50;100.00;2.00;100.00;0.00;100.00;0.00;3.31;0.90;7.60;0.80
2012;02;24;00;00;7.83;80.50;1029.50;0.00;0.00;21.86;0.17;8.54;13.29;498.42;3602.72;1.86;228.68;3.55;12.88;4.16;89.00;75.00;1030.90;1027.60;100.00;0.00;2.00;0.00;69.00;0.00;100.00;0.00;3.54;0.50;9.40;0.40
2012;02;25;00;00;8.50;91.04;1025.38;0.70;0.00;100.00;5.96;2.46;100.00;0.00;1918.84;2.15;289.59;3.16;10.66;7.33;97.00;82.00;1028.80;1022.00;100.00;100.00;23.00;0.00;42.00;0.00;100.00;100.00;3.83;0.50;8.60;0.80
2012;02;26;00;00;6.04;80.42;1024.55;0.10;0.00;41.00;1.54;0.00;40.54;548.98;3745.12;3.48;312.36;5.17;8.23;2.25;97.00;63.00;1027.60;1022.10;100.00;0.00;15.00;0.00;0.00;0.00;100.00;0.00;5.71;0.72;10.50;1.10
2012;02;27;00;00;4.79;77.04;1027.58;0.00;0.00;52.20;13.88;10.83;43.21;274.79;3584.03;0.94;286.24;1.15;8.48;1.25;96.00;57.00;1030.00;1025.80;100.00;1.50;87.00;0.00;75.00;0.00;100.00;0.00;1.73;0.30;2.20;0.30
2012;02;28;00;00;6.71;71.75;1026.35;0.00;0.00;8.35;10.42;5.62;0.00;552.09;3879.51;1.19;234.60;1.43;11.25;3.02;88.00;58.00;1027.30;1025.10;71.00;0.00;19.00;0.00;71.00;0.00;0.00;0.00;2.06;0.22;3.10;0.40
2012;02;29;00;00;8.20;84.42;1024.93;0.00;0.00;7.28;10.17;5.50;0.00;600.80;3938.25;1.21;235.32;1.36;13.84;3.42;97.00;71.00;1026.50;1022.50;54.00;0.00;43.00;0.00;54.00;0.00;0.00;0.00;1.84;0.20;2.10;0.20
2012;03;01;00;00;9.78;86.33;1023.75;0.00;0.00;14.58;3.33;0.00;14.08;582.97;3948.93;1.39;166.57;2.00;14.84;4.79;99.00;72.00;1025.20;1023.00;100.00;0.00;15.00;0.00;0.00;0.00;100.00;0.00;3.26;0.40;4.30;0.80
2012;03;02;00;00;11.64;81.96;1024.28;0.00;0.00;0.81;2.71;0.00;0.00;670.41;3998.77;1.22;177.01;1.18;16.15;7.24;93.00;69.00;1026.10;1021.80;4.50;0.00;15.00;0.00;0.00;0.00;0.00;0.00;2.10;0.30;2.10;0.50
2012;03;03;00;00;11.39;72.29;1022.84;0.00;0.00;26.46;4.46;6.08;21.88;648.48;4090.44;2.17;230.18;3.02;15.46;6.71;97.00;56.00;1025.10;1021.80;100.00;0.00;25.00;0.00;54.00;0.00;100.00;0.00;4.84;0.22;6.10;0.30
2012;03;04;00;00;9.62;78.29;1020.40;0.00;0.00;76.49;29.04;25.17;70.38;243.38;3281.43;1.63;140.77;1.95;13.77;4.78;96.00;62.00;1025.30;1013.30;100.00;1.20;100.00;0.00;100.00;0.00;100.00;0.00;2.69;0.40;3.40;0.70
2012;03;05;00;00;5.39;68.42;1020.83;2.30;0.00;91.33;14.08;91.33;38.12;45.85;3138.14;6.04;244.27;9.35;10.28;2.54;81.00;50.00;1024.20;1012.40;100.00;17.00;100.00;0.00;100.00;17.00;100.00;0.00;10.21;0.10;16.00;0.50
